 label Gender(0=Male;1=Female;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Subrub;3=Big_City;) In_State(0=No;1=Yes;) Ethnicity(0=White;1=Black;2=Hispanic;3=East_Asian;4=South_Asian;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Religious_but_not_one_of_the_above;6=Agnostic;7=Atheist;) Religious like_Math Calculus(0=No;1=Yes;) ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Cell_Phone(0=Android;1=iPhone;2=Other;) Social_Media(10=V10_or_more;) Texts Good_or_Well Expected_Income President(1=Donald_Trump;2=Hillary_Clinton;3=Jill_Stein;4=Gary_Johnson;5=Not_eligible_to_vote;6=Chose_not_to_vote;) Illinois_Commitment Family_Income Liberal Political_Party(0=Democratic;1=Republican;2=Independent;3=Green;4=Libertarian;5=Other;) Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section(1=L1;2=KF;3=ONL;) 
Obs94 94 0 0 1 1 1 0 5 3 5 1 27 3.3 4 7 1 0 1 1 3 3 6 100 6 10 64 8 1 0 10 20 0 4 1 
Obs95 95 0 0 0 0 1 0 7 0 3 1 27 3.4 0 0 3 0 2 1 2 4 7 60 5 8 190 5 1 6 6 15 70 7 1 
Obs96 96 0 0 1 1 1 0 0 5 1 0 26 3.8 6 15 1 0 10 1 5 4 8 200 1 5 800 7 1 4 8 15 90 3 1 
Obs97 97 1 1 0 2 1 0 6 0 5 1 26 3.7 3 0 5 2 2 1 3 5 5 100 5 10 30 2 0 6 4 0 30 9 1 
Obs98 98 1 1 0 3 1 3 0 3 3 0 23 3.2 0 0 1 1 2 1 3 1 3 55 5 10 63 3 0 5 5 0 100 7 1 
Obs99 99 1 1 0 2 1 0 0 6 7 1 24 4 3 5 4 0 5 1 7 6 0 110 2 10 135 0 0 5 7 30 70 8 1 
Obs100 100 1 1 0 2 1 0 0 6 4 0 29 3.5 2 0 0 0 4 1 4 5 5 100 5 8 200 7 1 6 8 0 100 6 1 
Obs101 101 0 0 0 2 1 0 0 3 7 1 34 4 6 0 1 1 1 1 2 8 7 150 5 10 300 4 0 7 8 10 90 4 1 
Obs102 102 0 0 0 3 1 1 0 6 5 1 21 3.3 0 15 2 1 1 1 4 15 8 120 6 8 80 10 0 8 8 0 50 6 1 
Obs103 103 0 0 0 2 1 4 2 7 6 1 25 3.4 3 0 0 0 10 1 3 2 5 90 5 4 60 5 0 4 10 10 50 5 1 
Obs104 104 0 0 0 2 1 0 6 4 6 0 32 4 1 7 3 2 0 1 1 3 2 70 5 10 250 3 0 5 8 0 100 1 1 
Obs105 105 1 1 1 2 1 0 1 4 6 1 28 3.8 12 0 0 1 3 1 4 20 5 80 6 7 200 5 2 6 8 0 100 2 1 
Obs106 106 0 0 0 2 1 2 0 5 4 0 25 2.7 0 0 0 0 12 0 3 5 6 50 2 10 24 3 0 6 9 10 0 5 1 
Obs107 107 1 1 1 1 1 0 0 9 0 1 33 3.4 12 10 1 1 2 1 5 5 6 1000 1 4 200 9 1 3 10 40 70 9 1 
